=== Sniffer Log - 2026-06-15 11:22:18 ===
Interface: wlp108s0 | Filtre: aucun
[2026-06-15 10:51:59.528] UDP   | 172.20.10.5    :53011 -> 172.20.10.1    :53   
[2026-06-15 10:51:59.588] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :53011
[2026-06-15 10:51:59.589] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :53011
[2026-06-15 10:51:59.589] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :40951
[2026-06-15 10:52:01.028] UDP   | 172.20.10.5    :123   -> 102.222.102.153:123  
[2026-06-15 10:52:01.054] UDP   | 172.20.10.5    :60204 -> 172.20.10.1    :53   
[2026-06-15 10:52:01.054] UDP   | 172.20.10.5    :44732 -> 172.20.10.1    :53   
[2026-06-15 10:52:01.054] UDP   | 172.20.10.5    :44732 -> 172.20.10.1    :53   
[2026-06-15 10:52:01.076] UDP   | 172.20.10.5    :47353 -> 172.20.10.1    :53   
[2026-06-15 10:52:01.076] UDP   | 172.20.10.5    :47353 -> 172.20.10.1    :53   
[2026-06-15 10:52:01.092] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :44732
[2026-06-15 10:52:01.092] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :47353
[2026-06-15 10:52:01.092] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :44732
[2026-06-15 10:52:01.092] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :47353
[2026-06-15 10:52:01.095] UDP   | 172.20.10.5    :45464 -> 172.20.10.1    :53   
[2026-06-15 10:52:01.095] UDP   | 172.20.10.5    :51497 -> 172.20.10.1    :53   
[2026-06-15 10:52:01.095] UDP   | 172.20.10.5    :51497 -> 172.20.10.1    :53   
[2026-06-15 10:52:01.105] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :51497
[2026-06-15 10:52:01.105] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :51497
[2026-06-15 10:52:01.105] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.115] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :60204
[2026-06-15 10:52:01.116] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :45464
[2026-06-15 10:52:01.161] UDP   | 102.222.102.153:123   -> 172.20.10.5    :123  
[2026-06-15 10:52:01.214] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.214] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.217] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.398] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.398] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.398] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.398] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.399] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.399] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.413] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.415] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.415] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.504] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.504] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.505] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.506] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.513] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.513] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.553] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
